jurisdiccion,ambito,tipo_gestion,nivel_desempeno,porcentaje,anio_evaluacion,nivel_educativo,anio_escolar
San Luis,Urbano,Estatal,Básico,27.747170546818534,2024,Secundario,5to año / 6to año
San Luis,Urbano,Privado,Básico,32.81146253461951,2024,Secundario,5to año / 6to año
Santa Cruz,Rural,Estatal,Básico,28.98743091213439,2024,Secundario,5to año / 6to año
Santa Cruz,Urbano,Estatal,Básico,26.37132665156011,2024,Secundario,5to año / 6to año
Santa Cruz,Urbano,Privado,Básico,39.71122087833266,2024,Secundario,5to año / 6to año
Santa Fe,Rural,Estatal,Básico,28.461545305089242,2024,Secundario,5to año / 6to año
Santa Fe,Rural,Privado,Básico,30.381843983483375,2024,Secundario,5to año / 6to año
Santa Fe,Urbano,Estatal,Básico,27.724738490633865,2024,Secundario,5to año / 6to año
Santa Fe,Urbano,Privado,Básico,31.96029114083468,2024,Secundario,5to año / 6to año
Santiago del Estero,Rural,Estatal,Básico,20.33998477389962,2024,Secundario,5to año / 6to año
Santiago del Estero,Rural,Privado,Básico,18.78826158334612,2024,Secundario,5to año / 6to año
Santiago del Estero,Urbano,Estatal,Básico,21.680208798607232,2024,Secundario,5to año / 6to año
Santiago del Estero,Urbano,Privado,Básico,28.676416055625165,2024,Secundario,5to año / 6to año
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Rural,Estatal,Básico,100.0,2024,Secundario,5to año / 6to año
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Urbano,Estatal,Básico,28.227715955654485,2024,Secundario,5to año / 6to año
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Urbano,Privado,Básico,34.11062232617449,2024,Secundario,5to año / 6to año
Tucumán,Rural,Estatal,Básico,18.028579360270868,2024,Secundario,5to año / 6to año
Tucumán,Rural,Privado,Básico,29.758497420287476,2024,Secundario,5to año / 6to año
Tucumán,Urbano,Estatal,Básico,20.733615280042297,2024,Secundario,5to año / 6to año
Tucumán,Urbano,Privado,Básico,28.897331939705783,2024,Secundario,5to año / 6to año
Buenos Aires,Rural,Estatal,Satisfactorio,10.81544114633466,2024,Secundario,5to año / 6to año
Buenos Aires,Rural,Privado,Satisfactorio,24.35542349546947,2024,Secundario,5to año / 6to año
Buenos Aires,Urbano,Estatal,Satisfactorio,10.296741264763915,2024,Secundario,5to año / 6to año
Buenos Aires,Urbano,Privado,Satisfactorio,28.703632058398814,2024,Secundario,5to año / 6to año
Catamarca,Rural,Estatal,Satisfactorio,4.188265702059028,2024,Secundario,5to año / 6to año
Catamarca,Urbano,Estatal,Satisfactorio,8.074866841861526,2024,Secundario,5to año / 6to año
